ppc_id,pro_id,client_id,ppc_scope,budget_time,monthly_avg_spend
PPC001,PRO0003,CNT001,10000,50,145
PPC002,PRO0006,CNT002,11000,55,60
PPC003,PRO0009,CNT003,12000,60,96
PPC004,PRO0033,CNT011,20000,100,129
PPC005,PRO0036,CNT012,21000,105,194
PPC006,PRO0042,CNT014,23000,115,107
PPC007,PRO0045,CNT015,24000,120,51
PPC008,PRO0048,CNT016,25000,125,164
PPC009,PRO0054,CNT018,27000,135,82
PPC010,PRO0057,CNT019,28000,140,95
PPC011,PRO0063,CNT021,30000,150,80
PPC012,PRO0075,CNT025,34000,170,87
PPC013,PRO0081,CNT027,10000,50,131
PPC014,PRO0087,CNT029,12000,60,185
PPC015,PRO0090,CNT030,13000,65,140
PPC016,PRO0108,CNT036,19000,95,154
PPC017,PRO0111,CNT037,20000,100,69
PPC018,PRO0114,CNT038,21000,105,157
PPC019,PRO0117,CNT039,22000,110,97
PPC020,PRO0123,CNT041,24000,120,93
PPC021,PRO0129,CNT043,26000,130,96
PPC022,PRO0135,CNT045,28000,140,166
PPC023,PRO0144,CNT048,31000,155,131
PPC024,PRO0153,CNT051,34000,170,191
PPC025,PRO0156,CNT052,35000,175,171
PPC026,PRO0159,CNT053,10000,50,115
PPC027,PRO0165,CNT055,12000,60,126
PPC028,PRO0168,CNT056,13000,65,90
PPC029,PRO0171,CNT057,14000,70,127
PPC030,PRO0177,CNT059,16000,80,114
PPC031,PRO0180,CNT060,17000,85,190
PPC032,PRO0183,CNT061,18000,90,134
PPC033,PRO0186,CNT062,19000,95,169
PPC034,PRO0192,CNT064,21000,105,158
PPC035,PRO0195,CNT065,22000,110,157
PPC036,PRO0210,CNT070,27000,135,96
PPC037,PRO0213,CNT071,28000,140,144
PPC038,PRO0219,CNT073,30000,150,184
PPC039,PRO0222,CNT074,31000,155,123
PPC040,PRO0225,CNT075,32000,160,136
PPC041,PRO0231,CNT077,34000,170,58
PPC042,PRO0234,CNT078,35000,175,54
PPC043,PRO0237,CNT079,10000,50,82
PPC044,PRO0249,CNT083,14000,70,122
PPC045,PRO0252,CNT084,15000,75,198
PPC046,PRO0264,CNT088,19000,95,90
PPC047,PRO0270,CNT090,21000,105,113
PPC048,PRO0273,CNT091,22000,110,77
PPC049,PRO0276,CNT092,23000,115,172
PPC050,PRO0279,CNT093,24000,120,93
PPC051,PRO0282,CNT094,25000,125,107
PPC052,PRO0285,CNT095,26000,130,87
PPC053,PRO0291,CNT097,28000,140,173
PPC054,PRO0294,CNT098,29000,145,137
PPC055,PRO0297,CNT099,30000,150,170
PPC056,PRO0300,CNT100,31000,155,70
PPC057,PRO0303,CNT101,32000,160,162
PPC058,PRO0312,CNT104,35000,175,143
PPC059,PRO0315,CNT105,10000,50,91
PPC060,PRO0321,CNT107,12000,60,187
PPC061,PRO0339,CNT113,18000,90,65
PPC062,PRO0342,CNT114,19000,95,130
PPC063,PRO0348,CNT116,21000,105,134
PPC064,PRO0360,CNT120,25000,125,182
PPC065,PRO0372,CNT124,29000,145,90
PPC066,PRO0378,CNT126,31000,155,172
PPC067,PRO0381,CNT127,32000,160,113
PPC068,PRO0384,CNT128,33000,165,127
PPC069,PRO0390,CNT130,35000,175,61
PPC070,PRO0393,CNT131,10000,50,83
PPC071,PRO0402,CNT134,13000,65,61
PPC072,PRO0411,CNT137,16000,80,72
PPC073,PRO0414,CNT138,17000,85,179
PPC074,PRO0417,CNT139,18000,90,157
PPC075,PRO0420,CNT140,19000,95,113
PPC076,PRO0426,CNT142,21000,105,125
PPC077,PRO0429,CNT143,22000,110,164
PPC078,PRO0435,CNT145,24000,120,81
PPC079,PRO0444,CNT148,27000,135,163
PPC080,PRO0450,CNT150,29000,145,153
PPC081,PRO0453,CNT151,30000,150,78
PPC082,PRO0465,CNT155,34000,170,190
PPC083,PRO0468,CNT156,35000,175,111
PPC084,PRO0471,CNT157,10000,50,179
PPC085,PRO0477,CNT159,12000,60,124
PPC086,PRO0492,CNT164,17000,85,114
PPC087,PRO0495,CNT165,18000,90,85
PPC088,PRO0501,CNT167,20000,100,88
PPC089,PRO0504,CNT168,21000,105,53
PPC090,PRO0507,CNT169,22000,110,109
PPC091,PRO0513,CNT171,24000,120,111
PPC092,PRO0519,CNT173,26000,130,143
PPC093,PRO0525,CNT175,28000,140,194
PPC094,PRO0528,CNT176,29000,145,153
PPC095,PRO0531,CNT177,30000,150,135
PPC096,PRO0537,CNT179,32000,160,59
PPC097,PRO0540,CNT180,33000,165,114
PPC098,PRO0546,CNT182,35000,175,150
PPC099,PRO0549,CNT183,10000,50,148
PPC100,PRO0555,CNT185,12000,60,182
PPC101,PRO0558,CNT186,13000,65,161
PPC102,PRO0561,CNT187,14000,70,193
PPC103,PRO0564,CNT188,15000,75,95
PPC104,PRO0567,CNT189,16000,80,70
PPC105,PRO0570,CNT190,17000,85,159
PPC106,PRO0573,CNT191,18000,90,169
PPC107,PRO0576,CNT192,19000,95,135
PPC108,PRO0579,CNT193,20000,100,105
PPC109,PRO0582,CNT194,21000,105,89
PPC110,PRO0588,CNT196,23000,115,127
PPC111,PRO0594,CNT198,25000,125,100
PPC112,PRO0600,CNT200,27000,135,119
PPC113,PRO0603,CNT201,28000,140,115
PPC114,PRO0609,CNT203,30000,150,103
PPC115,PRO0618,CNT206,33000,165,161
PPC116,PRO0621,CNT207,34000,170,179
PPC117,PRO0624,CNT208,35000,175,180
PPC118,PRO0636,CNT212,13000,65,102
PPC119,PRO0639,CNT213,14000,70,127
PPC120,PRO0642,CNT214,15000,75,59
PPC121,PRO0645,CNT215,16000,80,102
PPC122,PRO0648,CNT216,17000,85,70
PPC123,PRO0651,CNT217,18000,90,162
PPC124,PRO0657,CNT219,20000,100,131
PPC125,PRO0663,CNT221,22000,110,167
PPC126,PRO0666,CNT222,23000,115,193
PPC127,PRO0669,CNT223,24000,120,182
PPC128,PRO0672,CNT224,25000,125,149
PPC129,PRO0675,CNT225,26000,130,60
PPC130,PRO0678,CNT226,27000,135,176
PPC131,PRO0681,CNT227,28000,140,61
PPC132,PRO0687,CNT229,30000,150,55
PPC133,PRO0690,CNT230,31000,155,116
PPC134,PRO0693,CNT231,32000,160,183
PPC135,PRO0696,CNT232,33000,165,85
PPC136,PRO0705,CNT235,10000,50,198
PPC137,PRO0711,CNT237,12000,60,96
PPC138,PRO0714,CNT238,13000,65,149
PPC139,PRO0717,CNT239,14000,70,90
PPC140,PRO0720,CNT240,15000,75,70
PPC141,PRO0726,CNT242,17000,85,63
PPC142,PRO0732,CNT244,19000,95,183
PPC143,PRO0738,CNT246,21000,105,116
PPC144,PRO0741,CNT247,22000,110,57
PPC145,PRO0744,CNT248,23000,115,96
PPC146,PRO0747,CNT249,24000,120,187
PPC147,PRO0750,CNT250,25000,125,121
PPC148,PRO0759,CNT253,28000,140,169
PPC149,PRO0762,CNT254,29000,145,146
PPC150,PRO0768,CNT256,31000,155,122
PPC151,PRO0774,CNT258,33000,165,153
PPC152,PRO0777,CNT259,34000,170,188
PPC153,PRO0786,CNT262,11000,55,125
PPC154,PRO0789,CNT263,12000,60,174
PPC155,PRO0795,CNT265,14000,70,104
PPC156,PRO0801,CNT267,16000,80,196
PPC157,PRO0807,CNT269,18000,90,60
PPC158,PRO0813,CNT271,20000,100,174
PPC159,PRO0819,CNT273,22000,110,181
PPC160,PRO0822,CNT274,23000,115,110
PPC161,PRO0825,CNT275,24000,120,142
PPC162,PRO0831,CNT277,26000,130,141
PPC163,PRO0834,CNT278,27000,135,199
PPC164,PRO0840,CNT280,29000,145,144
PPC165,PRO0846,CNT282,31000,155,165
PPC166,PRO0849,CNT283,32000,160,116
PPC167,PRO0852,CNT284,33000,165,133
PPC168,PRO0858,CNT286,35000,175,85
PPC169,PRO0861,CNT287,10000,50,116
PPC170,PRO0870,CNT290,13000,65,126
PPC171,PRO0876,CNT292,15000,75,143
PPC172,PRO0879,CNT293,16000,80,161
PPC173,PRO0882,CNT294,17000,85,175
PPC174,PRO0885,CNT295,18000,90,120
PPC175,PRO0891,CNT297,20000,100,88
PPC176,PRO0897,CNT299,22000,110,129
PPC177,PRO0900,CNT300,23000,115,93
PPC178,PRO0912,CNT304,27000,135,197
PPC179,PRO0915,CNT305,28000,140,147
PPC180,PRO0918,CNT306,29000,145,153
PPC181,PRO0921,CNT307,30000,150,165
PPC182,PRO0927,CNT309,32000,160,54
PPC183,PRO0930,CNT310,33000,165,196
PPC184,PRO0933,CNT311,34000,170,180
PPC185,PRO0942,CNT314,11000,55,93
PPC186,PRO0945,CNT315,12000,60,146
PPC187,PRO0948,CNT316,13000,65,185
PPC188,PRO0951,CNT317,14000,70,59
PPC189,PRO0960,CNT320,17000,85,68
PPC190,PRO0963,CNT321,18000,90,74
PPC191,PRO0966,CNT322,19000,95,87
PPC192,PRO0972,CNT324,21000,105,134
PPC193,PRO0975,CNT325,22000,110,96
PPC194,PRO0978,CNT326,23000,115,80
PPC195,PRO0981,CNT327,24000,120,100
PPC196,PRO0990,CNT330,27000,135,85
PPC197,PRO0996,CNT332,29000,145,167
PPC198,PRO0999,CNT333,30000,150,120
PPC199,PRO1002,CNT334,31000,155,121
PPC200,PRO1005,CNT335,32000,160,74
PPC201,PRO1008,CNT336,33000,165,148
PPC202,PRO1014,CNT338,35000,175,118
PPC203,PRO1017,CNT339,10000,50,186
PPC204,PRO1020,CNT340,11000,55,197
PPC205,PRO1026,CNT342,13000,65,57
PPC206,PRO1029,CNT343,14000,70,154
PPC207,PRO1032,CNT344,15000,75,191
PPC208,PRO1044,CNT348,19000,95,117
PPC209,PRO1047,CNT349,20000,100,79
PPC210,PRO1050,CNT350,21000,105,134
PPC211,PRO1053,CNT351,22000,110,96
PPC212,PRO1062,CNT354,25000,125,110
PPC213,PRO1065,CNT355,26000,130,69
PPC214,PRO1068,CNT356,27000,135,81
PPC215,PRO1074,CNT358,29000,145,150
PPC216,PRO1077,CNT359,30000,150,151
PPC217,PRO1080,CNT360,31000,155,116
PPC218,PRO1083,CNT361,32000,160,102
PPC219,PRO1086,CNT362,33000,165,159
PPC220,PRO1089,CNT363,34000,170,117
PPC221,PRO1092,CNT364,10000,50,168
PPC222,PRO1095,CNT365,11000,55,130
PPC223,PRO1098,CNT366,12000,60,63
PPC224,PRO1104,CNT368,14000,70,116
PPC225,PRO1107,CNT369,15000,75,69
PPC226,PRO1110,CNT370,16000,80,198
PPC227,PRO1116,CNT372,18000,90,140
PPC228,PRO1125,CNT375,21000,105,149
PPC229,PRO1131,CNT377,23000,115,133
PPC230,PRO1134,CNT378,24000,120,58
PPC231,PRO1137,CNT379,25000,125,188
PPC232,PRO1140,CNT380,26000,130,124
PPC233,PRO1146,CNT382,28000,140,183
PPC234,PRO1152,CNT384,30000,150,106
PPC235,PRO1155,CNT385,31000,155,189
PPC236,PRO1173,CNT391,11000,55,127
PPC237,PRO1182,CNT394,14000,70,120
PPC238,PRO1185,CNT395,15000,75,145
PPC239,PRO1191,CNT397,17000,85,140
PPC240,PRO1194,CNT398,18000,90,185
PPC241,PRO1206,CNT402,22000,110,88
PPC242,PRO1209,CNT403,23000,115,97
PPC243,PRO1212,CNT404,24000,120,81
PPC244,PRO1215,CNT405,25000,125,78
PPC245,PRO1218,CNT406,26000,130,155
PPC246,PRO1224,CNT408,28000,140,70
PPC247,PRO1227,CNT409,29000,145,161
PPC248,PRO1233,CNT411,31000,155,148
PPC249,PRO1236,CNT412,32000,160,62
PPC250,PRO1242,CNT414,34000,170,76
PPC251,PRO1245,CNT415,35000,175,190
PPC252,PRO1248,CNT416,10000,50,118
PPC253,PRO1251,CNT417,11000,55,183
PPC254,PRO1254,CNT418,12000,60,61
PPC255,PRO1260,CNT420,14000,70,60
PPC256,PRO1263,CNT421,15000,75,94
PPC257,PRO1266,CNT422,16000,80,91
PPC258,PRO1272,CNT424,18000,90,77
PPC259,PRO1275,CNT425,19000,95,120
PPC260,PRO1278,CNT426,20000,100,127
PPC261,PRO1281,CNT427,21000,105,173
PPC262,PRO1284,CNT428,22000,110,183
PPC263,PRO1287,CNT429,23000,115,82
PPC264,PRO1296,CNT432,26000,130,148
PPC265,PRO1308,CNT436,30000,150,86
PPC266,PRO1314,CNT438,32000,160,145
PPC267,PRO1320,CNT440,34000,170,83
PPC268,PRO1323,CNT441,35000,175,176
PPC269,PRO1326,CNT442,10000,50,148
PPC270,PRO1329,CNT443,11000,55,97
PPC271,PRO1332,CNT444,12000,60,98
PPC272,PRO1335,CNT445,13000,65,94
PPC273,PRO1338,CNT446,14000,70,115
PPC274,PRO1347,CNT449,17000,85,130
PPC275,PRO1353,CNT451,19000,95,176
PPC276,PRO1356,CNT452,20000,100,129
PPC277,PRO1359,CNT453,21000,105,55
PPC278,PRO1362,CNT454,22000,110,99
PPC279,PRO1368,CNT456,24000,120,79
PPC280,PRO1371,CNT457,25000,125,74
PPC281,PRO1374,CNT458,26000,130,70
PPC282,PRO1377,CNT459,27000,135,160
PPC283,PRO1386,CNT462,30000,150,159
PPC284,PRO1389,CNT463,31000,155,187
PPC285,PRO1395,CNT465,33000,165,128
PPC286,PRO1398,CNT466,34000,170,199
PPC287,PRO1401,CNT467,35000,175,114
PPC288,PRO1413,CNT471,13000,65,183
PPC289,PRO1416,CNT472,14000,70,87
PPC290,PRO1419,CNT473,15000,75,182
PPC291,PRO1422,CNT474,16000,80,146
PPC292,PRO1425,CNT475,17000,85,84
PPC293,PRO1434,CNT478,20000,100,165
PPC294,PRO1440,CNT480,22000,110,54
PPC295,PRO1446,CNT482,24000,120,83
PPC296,PRO1449,CNT483,25000,125,103
PPC297,PRO1452,CNT484,26000,130,56
PPC298,PRO1455,CNT485,27000,135,62
PPC299,PRO1458,CNT486,28000,140,196
PPC300,PRO1461,CNT487,29000,145,143
PPC301,PRO1464,CNT488,30000,150,97
PPC302,PRO1467,CNT489,31000,155,67
PPC303,PRO1473,CNT491,33000,165,62
PPC304,PRO1476,CNT492,34000,170,114
PPC305,PRO1482,CNT494,10000,50,126
PPC306,PRO1485,CNT495,11000,55,100
PPC307,PRO1488,CNT496,12000,60,67
PPC308,PRO1491,CNT497,13000,65,161
PPC309,PRO1494,CNT498,14000,70,125
PPC310,PRO1497,CNT499,15000,75,169
PPC311,PRO1500,CNT500,16000,80,94